"Protein.ID" "Description" "Peptides" "Frames" "Hits" "Ratio.AS.0.C.0" "StDev" "pValue" "Fraction.1D_2D" "Gene_name" "UniprotID"
"62" "SP://D3YUI3" "D3YUI3_MOUSE Alpha_2_macroglobulin (Fragment) OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 11.095 0.27 0.0013 "A_10_24" "Pzp" "D3YUI3"
"63" "SP://D3YUI3" "D3YUI3_MOUSE Alpha_2_macroglobulin (Fragment) OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 1.085 0.082 0.239 "A_11_23" "Pzp" "D3YUI3"
"64" "SP://D3YUI3" "D3YUI3_MOUSE Alpha_2_macroglobulin (Fragment) OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 99999.9 1 1 "A_13_23" "Pzp" "D3YUI3"
"65" "SP://D3YVX2" "D3YVX2_MOUSE Coiled_coil domain_containing protein 7 (Fragment) OS=Mus musculus GN=Ccdc7 PE=2 SV=1" 1 1 1 99999.9 1 1 "A_40_01" "Ccdc7" "D3YVX2"
"66" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 2 2 9 3.795 0.035 0.00236 "A_10_01" "Pzp" "D3YW52"
"67" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 2 4 8 86078.757 0.536 0.443 "A_11_02" "Pzp" "D3YW52"
"68" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 2 2 5 2.108 0.041 0.0013 "A_12_01" "Pzp" "D3YW52"
"69" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 0.001 1.47 0.0235 "A_13_02" "Pzp" "D3YW52"
"70" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 4 1.788 0.038 0.0363 "A_14_01" "Pzp" "D3YW52"
"71" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 0 1 1 "A_15_02" "Pzp" "D3YW52"
"72" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 1.226 0.094 0.144 "A_16_01" "Pzp" "D3YW52"
"73" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 0.881 0.166 0.296 "A_34_08" "Pzp" "D3YW52"
"74" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 2.487 0.101 0.0234 "A_09_23" "Pzp" "D3YW52"
"75" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 3 3 7 6372.035 0.252 0.0386 "A_10_24" "Pzp" "D3YW52"
"76" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 3 4 9 1.254 0.068 0.199 "A_11_23" "Pzp" "D3YW52"
"77" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 4 4 18 1.839 0.065 0.0251 "A_12_24" "Pzp" "D3YW52"
"78" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 2 2 3 2486.855 0.158 0.0242 "A_13_23" "Pzp" "D3YW52"
"79" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 3 3 7 0.284 0.03 0.0216 "A_11_25" "Pzp" "D3YW52"
"80" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 1 4 14 67244.655 0.58 0.00127 "A_11_31" "Pzp" "D3YW52"
"81" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 2 3 6 99999.9 0.577 1 "A_12_26" "Pzp" "D3YW52"
"82" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 2 99999.9 1 1 "A_13_25" "Pzp" "D3YW52"
"83" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 3 6 18 597.467 0.055 0.0199 "A_13_31" "Pzp" "D3YW52"
"84" "SP://D3YW52" "D3YW52_MOUSE Alpha_2_macroglobulin OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 99999.9 1 1e-05 "A_23_25" "Pzp" "D3YW52"
"85" "SP://D3YY36" "D3YY36_MOUSE Protein 1300017J02Rik OS=Mus musculus GN=1300017J02Rik PE=2 SV=1" 1 1 1 0 1 1 "A_28_01" "1300017J02Rik" "D3YY36"
"86" "SP://D3YYM4" "D3YYM4_MOUSE Protein Wdr72 OS=Mus musculus GN=Wdr72 PE=2 SV=1" 1 1 1 0.76 0.067 0.102 "A_13_31" "Wdr72" "D3YYM4"
"87" "SP://D3YYR8" "D3YYR8_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1" 1 1 7 1.047 0.012 0.0707 "A_31_02" "Trf" "D3YYR8"
"88" "SP://D3YYR8" "D3YYR8_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1" 3 3 11 40310.565 0.447 0.281 "A_33_02" "Trf" "D3YYR8"
"89" "SP://D3YYR8" "D3YYR8_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1" 1 1 4 0.021 1.429 0.00308 "A_33_04" "Trf" "D3YYR8"
"90" "SP://D3YYR8" "D3YYR8_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1" 1 1 4 1.208 0.178 0.17 "A_35_02" "Trf" "D3YYR8"
"91" "SP://D3YYR8" "D3YYR8_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1" 1 1 10 1.071 0.039 0.148 "A_29_19" "Trf" "D3YYR8"
"92" "SP://D3YYR8" "D3YYR8_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1" 1 1 5 3.926 0.441 0.228 "A_17_31" "Trf" "D3YYR8"
"93" "SP://D3YYR8" "D3YYR8_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1" 1 2 5 66935.218 0.818 5.47e-05 "A_23_25" "Trf" "D3YYR8"
"94" "SP://D3YZY0" "D3YZY0_MOUSE Actin_ gamma_enteric smooth muscle (Fragment) OS=Mus musculus GN=Actg2 PE=2 SV=1" 1 1 1 0.914 0.059 0.1 "A_17_31" "Actg2" "D3YZY0"
"95" "SP://D3YZY0" "D3YZY0_MOUSE Actin_ gamma_enteric smooth muscle (Fragment) OS=Mus musculus GN=Actg2 PE=2 SV=1" 1 1 2 130.412 1.504 0.0379 "A_23_25" "Actg2" "D3YZY0"
"96" "SP://D3Z2J5" "D3Z2J5_MOUSE Nuclear receptor corepressor 2 (Fragment) OS=Mus musculus GN=Ncor2 PE=2 SV=1" 1 1 1 4.458 0.131 0.0746 "A_10_01" "Ncor2" "D3Z2J5"
"97" "SP://D3Z2J5" "D3Z2J5_MOUSE Nuclear receptor corepressor 2 (Fragment) OS=Mus musculus GN=Ncor2 PE=2 SV=1" 1 1 1 0 1 1 "A_11_02" "Ncor2" "D3Z2J5"
"98" "SP://D3Z5G7" "D3Z5G7_MOUSE Protein Ces1b OS=Mus musculus GN=Ces1b PE=4 SV=1" 1 1 2 1.469 0.215 0.139 "A_32_01" "Ces1b" "D3Z5G7"
"99" "SP://D3Z5G7" "D3Z5G7_MOUSE Protein Ces1b OS=Mus musculus GN=Ces1b PE=4 SV=1" 1 2 7 0.675 0.052 0.108 "A_31_19" "Ces1b" "D3Z5G7"
"100" "SP://D3Z5G7" "D3Z5G7_MOUSE Protein Ces1b OS=Mus musculus GN=Ces1b PE=4 SV=1" 1 1 4 0.832 0.251 0.452 "A_30_22" "Ces1b" "D3Z5G7"
"101" "SP://D3Z5G7" "D3Z5G7_MOUSE Protein Ces1b OS=Mus musculus GN=Ces1b PE=4 SV=1" 2 6 7 77576.598 0.492 1.09e-05 "A_34_24" "Ces1b" "D3Z5G7"
"102" "SP://D3Z7G5" "D3Z7G5_MOUSE AN1_type zinc finger protein 1 OS=Mus musculus GN=Zfand1 PE=2 SV=1" 1 1 1 0.565 0.223 0.123 "A_35_11" "Zfand1" "D3Z7G5"
"103" "SP://D6RGQ0" "D6RGQ0_MOUSE Complement factor H OS=Mus musculus GN=Cfh PE=2 SV=1" 2 3 7 2.121 0.027 6.02e-06 "A_14_01" "Cfh" "D6RGQ0"
"104" "SP://D6RGQ0" "D6RGQ0_MOUSE Complement factor H OS=Mus musculus GN=Cfh PE=2 SV=1" 1 2 5 0 1 1 "A_15_02" "Cfh" "D6RGQ0"
"105" "SP://D6RGQ0" "D6RGQ0_MOUSE Complement factor H OS=Mus musculus GN=Cfh PE=2 SV=1" 3 4 15 1.466 0.02 0.0136 "A_16_01" "Cfh" "D6RGQ0"
"106" "SP://D6RGQ0" "D6RGQ0_MOUSE Complement factor H OS=Mus musculus GN=Cfh PE=2 SV=1" 2 3 10 2.047 0.036 0.00484 "A_17_02" "Cfh" "D6RGQ0"
"107" "SP://D6RGQ0" "D6RGQ0_MOUSE Complement factor H OS=Mus musculus GN=Cfh PE=2 SV=1" 2 3 19 1.189 0.02 0.0058 "A_18_01" "Cfh" "D6RGQ0"
"108" "SP://D6RGQ0" "D6RGQ0_MOUSE Complement factor H OS=Mus musculus GN=Cfh PE=2 SV=1" 1 1 4 0.937 0.153 0.565 "A_19_02" "Cfh" "D6RGQ0"
"109" "SP://D6RGU5" "D6RGU5_MOUSE Multidrug resistance_associated protein 9 OS=Mus musculus GN=Abcc12 PE=2 SV=1" 1 1 1 0.812 0.042 0.0814 "A_34_08" "Abcc12" "D6RGU5"
"110" "SP://E9PV04" "E9PV04_MOUSE Protein Gm8994 OS=Mus musculus GN=Gm8994 PE=4 SV=2" 1 1 2 93.991 0.095 0.00934 "A_33_02" "Gm8994" "E9PV04"
"111" "SP://E9PVD2" "E9PVD2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1" 1 1 1 1.801 0.232 0.0811 "A_27_23" "Itih4" "E9PVD2"
"112" "SP://E9PWM5" "E9PWM5_MOUSE BRCA1_A complex subunit RAP80 OS=Mus musculus GN=Uimc1 PE=2 SV=1" 1 1 1 0.946 0.16 0.647 "A_35_15" "Uimc1" "E9PWM5"
"113" "SP://E9PWM5" "E9PWM5_MOUSE BRCA1_A complex subunit RAP80 OS=Mus musculus GN=Uimc1 PE=2 SV=1" 1 1 1 1.193 0.127 0.236 "A_35_17" "Uimc1" "E9PWM5"
"114" "SP://E9PWM5" "E9PWM5_MOUSE BRCA1_A complex subunit RAP80 OS=Mus musculus GN=Uimc1 PE=2 SV=1" 1 1 1 1.179 0.117 0.252 "A_36_16" "Uimc1" "E9PWM5"
"115" "SP://E9PY55" "E9PY55_MOUSE Nuclear receptor corepressor 2 OS=Mus musculus GN=Ncor2 PE=2 SV=1" 1 1 1 4.458 0.131 0.0746 "A_10_01" "Ncor2" "E9PY55"
"116" "SP://E9PY55" "E9PY55_MOUSE Nuclear receptor corepressor 2 OS=Mus musculus GN=Ncor2 PE=2 SV=1" 1 1 1 0 1 1 "A_11_02" "Ncor2" "E9PY55"
"117" "SP://E9PZD8" "E9PZD8_MOUSE Ceruloplasmin OS=Mus musculus GN=Cp PE=2 SV=1" 1 1 1 99999.9 1 1 "A_29_23" "Cp" "E9PZD8"
"118" "SP://E9PZD8" "E9PZD8_MOUSE Ceruloplasmin OS=Mus musculus GN=Cp PE=2 SV=1" 1 1 2 2.548 0.27 0.0166 "A_23_31" "Cp" "E9PZD8"
"119" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 1 1 1 1e+05 1 1e-05 "A_06_01" "Gm20425" "E9Q035"
"120" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 1 1 1 0.016 0.676 0.0155 "A_17_02" "Gm20425" "E9Q035"
"121" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 1 1 1 17.894 1.034 0.103 "A_20_01" "Gm20425" "E9Q035"
"122" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 1 1 6 0.908 0.044 0.0878 "A_24_01" "Gm20425" "E9Q035"
"123" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 1 1 2 732.605 1.548 0.06 "A_31_00" "Gm20425" "E9Q035"
"124" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 5 6 58 1.161 0.013 9.4e-05 "A_32_01" "Gm20425" "E9Q035"
"125" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 1 2 4 72913.414 0.854 7.83e-05 "A_33_00" "Gm20425" "E9Q035"
"126" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 5 7 43 5.579 0.018 6.19e-07 "A_34_01" "Gm20425" "E9Q035"
"127" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 3 3 17 1.631 0.052 0.00708 "A_36_01" "Gm20425" "E9Q035"
"128" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 1 1 2 94.143 1.55 0.059 "A_38_00" "Gm20425" "E9Q035"
"129" "SP://E9Q035" "E9Q035_MOUSE Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1" 1 1 1 0.378 1.481 0.344 "A_40_01" "Gm20425" "E9Q035"
