"Protein.ID"	"Description"	"Peptides"	"Frames"	"Hits"	"Ratio.AS.0.C.0"	"StDev"	"pValue"	"Fraction.1D_2D"	"Gene_name"	"UniprotID"
"11"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	2	0.574	0.063	0.00114	"C_32_15"	"Camta1"	"A2A891-5"
"12"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	1	0.054	0.053	0.0246	"C_35_16"	"Camta1"	"A2A891-5"
"13"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	1	0.424	0.022	0.00236	"C_32_19"	"Camta1"	"A2A891-5"
"14"	"SP://A2A998"	"A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1"	1	1	1	2.009	0.194	0.0118	"A_20_01"	"C8a"	"A2A998"
"15"	"SP://A2A998"	"A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1"	1	1	2	1.565	0.069	7.72e-05	"A_22_01"	"C8a"	"A2A998"
"16"	"SP://A2A998"	"A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1"	1	1	2	0.359	0.073	0.00222	"A_24_01"	"C8a"	"A2A998"
"17"	"SP://A2A998"	"A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1"	5	5	15	2.469	0.059	3.1e-12	"A_27_02"	"C8a"	"A2A998"
"18"	"SP://A2A998"	"A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1"	1	1	1	2.736	0.224	0.0211	"C_22_23"	"C8a"	"A2A998"
"19"	"SP://A2AH22-7"	"AMRA1_MOUSE Isoform 7 of Activating molecule in BECN1_regulated autophagy protein 1 OS=Mus musculus GN=Ambra1"	1	1	1	0.373	0.048	0.00659	"A_33_21"	"Ambra1"	"A2AH22-7"
"20"	"SP://A2AJW5"	"A2AJW5_MOUSE Protein Fam217b OS=Mus musculus GN=Fam217b PE=4 SV=1"	1	1	1	0.579	0.062	0.0166	"C_24_27"	"Fam217b"	"A2AJW5"
"21"	"SP://A2ANL9"	"A2ANL9_MOUSE Teneurin_1 OS=Mus musculus GN=Tenm1 PE=2 SV=1"	1	1	1	0.345	0.037	0.00776	"A_31_17"	"Tenm1"	"A2ANL9"
"22"	"SP://A2ANU2"	"A2ANU2_MOUSE Polypeptide N_acetylgalactosaminyltransferase 12 OS=Mus musculus GN=Galnt12 PE=2 SV=1"	1	1	1	0.001	0.001	0.0103	"A_21_31"	"Galnt12"	"A2ANU2"
"23"	"SP://A2ANU2"	"A2ANU2_MOUSE Polypeptide N_acetylgalactosaminyltransferase 12 OS=Mus musculus GN=Galnt12 PE=2 SV=1"	1	1	1	5.747	0.481	0.0326	"C_20_23"	"Galnt12"	"A2ANU2"
"24"	"SP://A2ATR8"	"A2ATR8_MOUSE Plasma protease C1 inhibitor OS=Mus musculus GN=Serping1 PE=4 SV=1"	1	1	6	3.945	0.669	2.92e-07	"B_21_31"	"Serping1"	"A2ATR8"
"25"	"SP://A2ATR8"	"A2ATR8_MOUSE Plasma protease C1 inhibitor OS=Mus musculus GN=Serping1 PE=4 SV=1"	1	1	1	99999.9	99999.9	1e-05	"B_23_26"	"Serping1"	"A2ATR8"
"26"	"SP://A2ATR8"	"A2ATR8_MOUSE Plasma protease C1 inhibitor OS=Mus musculus GN=Serping1 PE=4 SV=1"	1	1	5	2.309	0.18	1.54e-07	"B_23_31"	"Serping1"	"A2ATR8"
"27"	"SP://A2ATR8"	"A2ATR8_MOUSE Plasma protease C1 inhibitor OS=Mus musculus GN=Serping1 PE=4 SV=1"	1	1	4	1.405	0.045	0.00178	"B_25_31"	"Serping1"	"A2ATR8"
"28"	"SP://A2BIN1"	"A2BIN1_MOUSE Major urinary protein 8 OS=Mus musculus GN=Mup10 PE=2 SV=1"	1	1	2	3.997	0.346	2.14e-05	"B_42_21"	"Mup10"	"A2BIN1"
"29"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	4.036	0.088	0.0014	"A_10_01"	"Uhrf1bp1l"	"A2RSJ4"
"30"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	0	0	0	"A_13_02"	"Uhrf1bp1l"	"A2RSJ4"
"31"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	1.945	0.08	0.00204	"A_14_01"	"Uhrf1bp1l"	"A2RSJ4"
"32"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	1.804	0.159	0.000283	"A_16_01"	"Uhrf1bp1l"	"A2RSJ4"
"33"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	1	2.279	0.074	0.011	"A_09_31"	"Uhrf1bp1l"	"A2RSJ4"
"34"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	0.102	0.003	1.08e-07	"B_12_23"	"Uhrf1bp1l"	"A2RSJ4"
"35"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	1	12.14	3.925	0.00111	"B_16_23"	"Uhrf1bp1l"	"A2RSJ4"
"36"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	0.103	0.012	0.00486	"B_11_24"	"Uhrf1bp1l"	"A2RSJ4"
"37"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	1	0.176	0.015	0.000274	"B_12_25"	"Uhrf1bp1l"	"A2RSJ4"
"38"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	1	0	0	0	"B_09_31"	"Uhrf1bp1l"	"A2RSJ4"
"39"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	3	0.833	0.017	0.00453	"B_11_31"	"Uhrf1bp1l"	"A2RSJ4"
"40"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	3	0.692	0.065	0.00373	"B_13_31"	"Uhrf1bp1l"	"A2RSJ4"
"41"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	0.241	0.023	0.001	"B_15_31"	"Uhrf1bp1l"	"A2RSJ4"
"42"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	3	37.76	7.065	0.00409	"C_09_02"	"Uhrf1bp1l"	"A2RSJ4"
"43"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	1	2.758	0.111	0.00329	"C_10_01"	"Uhrf1bp1l"	"A2RSJ4"
"44"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	1	0.001	0.001	0.0253	"C_12_01"	"Uhrf1bp1l"	"A2RSJ4"
"45"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	20.544	0.667	0.00051	"C_13_02"	"Uhrf1bp1l"	"A2RSJ4"
"46"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	3.177	0.114	0.00298	"C_14_01"	"Uhrf1bp1l"	"A2RSJ4"
"47"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	0.29	0.039	0.0011	"C_16_01"	"Uhrf1bp1l"	"A2RSJ4"
"48"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	5.778	0.455	0.00633	"C_12_24"	"Uhrf1bp1l"	"A2RSJ4"
"49"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	1	99999.9	99999.9	1e-05	"C_12_25"	"Uhrf1bp1l"	"A2RSJ4"
"50"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	1	4.179	0.405	0.0219	"C_10_31"	"Uhrf1bp1l"	"A2RSJ4"
"51"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	3	6.444	0.298	2.33e-10	"C_12_31"	"Uhrf1bp1l"	"A2RSJ4"
"52"	"SP://A2RSJ4"	"UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2"	1	1	2	1.928	0.136	0.000266	"C_14_31"	"Uhrf1bp1l"	"A2RSJ4"
"53"	"SP://A7VMS6"	"A7VMS6_MOUSE MHC classIb T5 OS=Mus musculus GN=Gm8909 PE=2 SV=2"	1	1	1	6.507	2.115	0.00306	"B_19_35"	"Gm8909"	"A7VMS6"
"54"	"SP://A7VMS6"	"A7VMS6_MOUSE MHC classIb T5 OS=Mus musculus GN=Gm8909 PE=2 SV=2"	1	1	1	5.343	1.924	0.00805	"B_21_31"	"Gm8909"	"A7VMS6"
"55"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	3	0.186	0.015	9.9e-05	"A_17_02"	"Hbbt1"	"A8DUK4"
"56"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	3	3.134	0.209	0.000221	"A_18_01"	"Hbbt1"	"A8DUK4"
"57"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	7	1.893	0.101	3.82e-07	"A_20_01"	"Hbbt1"	"A8DUK4"
"58"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	8	0.792	0.019	1.54e-14	"A_22_01"	"Hbbt1"	"A8DUK4"
"59"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	8	0.77	0.038	3.91e-05	"A_24_01"	"Hbbt1"	"A8DUK4"
"60"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	3.443	0.265	0.0019	"A_32_01"	"Hbbt1"	"A8DUK4"
"61"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	6	3.352	0.218	1.05e-11	"A_36_01"	"Hbbt1"	"A8DUK4"
"62"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	5	1.458	0.046	3.57e-05	"A_38_00"	"Hbbt1"	"A8DUK4"
"63"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	6	0	0	0	"A_38_01"	"Hbbt1"	"A8DUK4"
"64"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	0	0	0	"A_40_01"	"Hbbt1"	"A8DUK4"
"65"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	4	4.83	0.875	0.00135	"A_19_02"	"Hbbt1"	"A8DUK4"
"66"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	4	3.406	0.526	0.00011	"A_21_02"	"Hbbt1"	"A8DUK4"
"67"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	1	7.173	0.356	0.0126	"A_27_02"	"Hbbt1"	"A8DUK4"
"68"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	1	4.129	0.035	1.37e-05	"A_29_02"	"Hbbt1"	"A8DUK4"
"69"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	2	3	3.444	0.19	0.00264	"A_31_02"	"Hbbt1"	"A8DUK4"
"70"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	1	2.638	0.422	0.0448	"A_33_02"	"Hbbt1"	"A8DUK4"
"71"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	3	15	0.449	0.019	9.51e-13	"A_37_02"	"Hbbt1"	"A8DUK4"
"72"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	5	1.286	0.118	0.000832	"A_38_03"	"Hbbt1"	"A8DUK4"
"73"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	9	2.083	0.027	1.53e-09	"A_39_02"	"Hbbt1"	"A8DUK4"
"74"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	3	3	9	0.532	0.011	1.78e-08	"A_41_02"	"Hbbt1"	"A8DUK4"
"75"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	5	2.211	0.187	3.61e-07	"A_23_19"	"Hbbt1"	"A8DUK4"
"76"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	0.345	0.118	0.00375	"A_23_21"	"Hbbt1"	"A8DUK4"
"77"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	4	0.669	0.042	0.000455	"A_25_21"	"Hbbt1"	"A8DUK4"
"78"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	0.614	0.03	0.00759	"A_27_19"	"Hbbt1"	"A8DUK4"
"79"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	3	0.656	0.057	0.000837	"A_29_19"	"Hbbt1"	"A8DUK4"
"80"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	4	0.472	0.013	3.94e-06	"B_35_02"	"Hbbt1"	"A8DUK4"
"81"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	3	11	0.624	0.023	6.06e-09	"B_36_01"	"Hbbt1"	"A8DUK4"
"82"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	2	8	1.417	0.034	9.84e-11	"B_37_02"	"Hbbt1"	"A8DUK4"
"83"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	3	15	1.446	0.011	1.03e-14	"B_38_01"	"Hbbt1"	"A8DUK4"
"84"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	4	0.476	0.066	0.000146	"B_38_03"	"Hbbt1"	"A8DUK4"
"85"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	3	9	0.949	0.047	1.74e-08	"B_40_01"	"Hbbt1"	"A8DUK4"
"86"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	5	0.806	0.008	3.5e-09	"B_41_02"	"Hbbt1"	"A8DUK4"
"87"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	2	1.385	0.036	0.00791	"B_23_20"	"Hbbt1"	"A8DUK4"
"88"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	1	1.87	0.045	0.00259	"B_20_23"	"Hbbt1"	"A8DUK4"
"89"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	3	2.101	0.046	8.06e-07	"B_21_22"	"Hbbt1"	"A8DUK4"
"90"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	1	0.689	0.059	0.0306	"B_22_21"	"Hbbt1"	"A8DUK4"
"91"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	0.322	0.083	0.00589	"B_23_22"	"Hbbt1"	"A8DUK4"
"92"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	6	1.424	0.036	1.95e-06	"B_24_21"	"Hbbt1"	"A8DUK4"
"93"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	4	0.458	0.026	0.000856	"B_25_22"	"Hbbt1"	"A8DUK4"
"94"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	3	0.895	0.012	0.00613	"B_26_21"	"Hbbt1"	"A8DUK4"
"95"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	0.258	0.01	0.00438	"B_22_23"	"Hbbt1"	"A8DUK4"
"96"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	6	2.221	0.055	7.65e-10	"C_15_02"	"Hbbt1"	"A8DUK4"
"97"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	3	6.462	0.208	5.36e-06	"C_16_01"	"Hbbt1"	"A8DUK4"
"98"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	6	1.963	0.041	5.72e-09	"C_17_02"	"Hbbt1"	"A8DUK4"
"99"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	4	3.483	0.339	0.000302	"C_18_01"	"Hbbt1"	"A8DUK4"
"100"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	0	0	0	"C_19_02"	"Hbbt1"	"A8DUK4"
"101"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	3	1.515	0.129	0.000108	"C_20_01"	"Hbbt1"	"A8DUK4"
"102"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	1	0.204	0.081	0.0318	"C_29_01"	"Hbbt1"	"A8DUK4"
"103"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	1	0.558	0.082	0.0373	"C_32_02"	"Hbbt1"	"A8DUK4"
"104"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	4	0.192	0.054	5.58e-07	"C_33_01"	"Hbbt1"	"A8DUK4"
"105"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	0.199	0.012	0.000454	"C_34_02"	"Hbbt1"	"A8DUK4"
"106"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	4	4	12	0.526	0.005	1.12e-14	"C_35_01"	"Hbbt1"	"A8DUK4"
"107"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	5	8	37	0.15	0.003	9.9e-20	"C_36_02"	"Hbbt1"	"A8DUK4"
"108"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	6	8	34	0.054	0.001	9.9e-20	"C_37_01"	"Hbbt1"	"A8DUK4"
"109"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	4	0.304	0.019	4.94e-06	"C_38_00"	"Hbbt1"	"A8DUK4"
"110"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	3	3	18	0.21	0.006	9.9e-20	"C_38_02"	"Hbbt1"	"A8DUK4"
"111"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	5	8	29	0.556	0.001	9.9e-20	"C_39_01"	"Hbbt1"	"A8DUK4"
"112"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	0.152	0.006	4.91e-07	"C_40_00"	"Hbbt1"	"A8DUK4"
"113"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	6	0.335	0.019	1.01e-07	"C_40_02"	"Hbbt1"	"A8DUK4"
"114"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	6	0.285	0.017	3.55e-15	"C_41_01"	"Hbbt1"	"A8DUK4"
"115"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	4	4.87	0.356	0.000462	"C_42_02"	"Hbbt1"	"A8DUK4"
"116"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	4	0.046	0.002	7.95e-07	"C_37_03"	"Hbbt1"	"A8DUK4"
"117"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	0.144	0.008	1.52e-05	"C_39_03"	"Hbbt1"	"A8DUK4"
"118"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	3	0.013	0.003	0.00874	"C_12_25"	"Hbbt1"	"A8DUK4"
"119"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	1	1	2	2.475	0.201	0.00626	"C_21_20"	"Hbbt1"	"A8DUK4"
"120"	"SP://A8DUK4"	"A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1"	2	2	5	0.249	0.037	9.13e-08	"C_21_22"	"Hbbt1"	"A8DUK4"
